prov_cod,prov_n,cant_cod,cant_n
1,AZUAY,260,CUENCA
1,AZUAY,265,GUALACEO
1,AZUAY,270,GIRON
1,AZUAY,275,PAUTE
1,AZUAY,280,SIGSIG
1,AZUAY,285,SANTA ISABEL
1,AZUAY,555,PUCARA
1,AZUAY,556,CAMILO PONCE ENRIQUEZ
1,AZUAY,780,OÑA
1,AZUAY,855,SAN FERNANDO
1,AZUAY,885,NABON
1,AZUAY,915,CHORDELEG
1,AZUAY,955,SEVILLA DE ORO
1,AZUAY,960,EL PAN
1,AZUAY,990,GUACHAPALA
10,IMBABURA,30,IBARRA
10,IMBABURA,35,OTAVALO
10,IMBABURA,40,COTACACHI
10,IMBABURA,45,ANTONIO ANTE
10,IMBABURA,50,PIMAMPIRO
10,IMBABURA,55,SAN MIGUEL DE URCUQUI
11,LOJA,290,CATAMAYO
11,LOJA,295,ZAPOTILLO
11,LOJA,300,LOJA
11,LOJA,305,SARAGURO
11,LOJA,310,PALTAS
11,LOJA,311,OLMEDO
11,LOJA,315,CELICA
11,LOJA,320,CALVAS
11,LOJA,325,MACARA
11,LOJA,330,PUYANGO
11,LOJA,335,GONZANAMA
11,LOJA,340,ESPINDOLA
11,LOJA,345,SOZORANGA
11,LOJA,730,PINDAL
11,LOJA,740,QUILANGA
11,LOJA,815,CHAGUARPAMBA
13,MANABI,230,FLAVIO ALFARO
13,MANABI,440,PORTOVIEJO
13,MANABI,445,MONTECRISTI
13,MANABI,446,JARAMIJO
13,MANABI,450,MANTA
13,MANABI,455,JIPIJAPA
13,MANABI,460,24 DE MAYO
13,MANABI,465,ROCAFUERTE
13,MANABI,470,SANTA ANA
13,MANABI,475,SUCRE
13,MANABI,476,JAMA
13,MANABI,477,SAN VICENTE
13,MANABI,480,CHONE
13,MANABI,485,BOLIVAR
13,MANABI,490,JUNIN
13,MANABI,495,PAJAN
13,MANABI,500,EL CARMEN
13,MANABI,550,TOSAGUA
13,MANABI,840,PICHINCHA
13,MANABI,910,PEDERNALES
13,MANABI,970,OLMEDO
13,MANABI,975,PUERTO LOPEZ
12,LOS RIOS,515,BABAHOYO
12,LOS RIOS,516,VALENCIA
12,LOS RIOS,520,BABA
12,LOS RIOS,525,VINCES
12,LOS RIOS,530,PUEBLOVIEJO
12,LOS RIOS,535,URDANETA
12,LOS RIOS,540,QUEVEDO
12,LOS RIOS,545,VENTANAS
12,LOS RIOS,546,QUINSALOMA
12,LOS RIOS,710,MONTALVO
12,LOS RIOS,750,PALENQUE
12,LOS RIOS,945,BUENA FE
12,LOS RIOS,946,MOCACHE
14,MORONA SANTIAGO,590,MORONA
14,MORONA SANTIAGO,595,GUALAQUIZA
14,MORONA SANTIAGO,600,LIMON INDANZA
14,MORONA SANTIAGO,605,SANTIAGO
14,MORONA SANTIAGO,610,SUCUA
14,MORONA SANTIAGO,611,LOGROÑO
14,MORONA SANTIAGO,615,PALORA
14,MORONA SANTIAGO,795,HUAMBOYA
14,MORONA SANTIAGO,796,PABLO SEXTO
14,MORONA SANTIAGO,797,TIWINTZA
14,MORONA SANTIAGO,925,SAN JUAN BOSCO
14,MORONA SANTIAGO,926,TAISHA
15,NAPO,255,EL CHACO
15,NAPO,620,TENA
15,NAPO,621,CARLOS JULIO AROSEMENA TOLA
15,NAPO,635,QUIJOS
15,NAPO,700,ARCHIDONA
16,PASTAZA,680,PASTAZA
16,PASTAZA,685,MERA
16,PASTAZA,880,SANTA CLARA
16,PASTAZA,881,ARAJUNO
17,PICHINCHA,60,QUITO
17,PICHINCHA,65,CAYAMBE
17,PICHINCHA,70,MEJIA
17,PICHINCHA,75,PEDRO MONCAYO
17,PICHINCHA,770,SAN MIGUEL DE LOS BANCOS
17,PICHINCHA,80,RUMIÑAHUI
17,PICHINCHA,895,PEDRO VICENTE MALDONADO
17,PICHINCHA,896,PUERTO QUITO
18,TUNGURAHUA,135,AMBATO
18,TUNGURAHUA,140,SAN PEDRO DE PELILEO
18,TUNGURAHUA,145,SANTIAGO DE PILLARO
18,TUNGURAHUA,150,BAÑOS DE AGUA SANTA
18,TUNGURAHUA,155,PATATE
18,TUNGURAHUA,160,QUERO
18,TUNGURAHUA,845,CEVALLOS
18,TUNGURAHUA,850,MOCHA
18,TUNGURAHUA,90,TISALEO
19,ZAMORA CHINCHIPE,130,NANGARITZA
19,ZAMORA CHINCHIPE,655,ZAMORA
19,ZAMORA CHINCHIPE,660,CHINCHIPE
19,ZAMORA CHINCHIPE,661,PALANDA
19,ZAMORA CHINCHIPE,665,YACUAMBI
19,ZAMORA CHINCHIPE,670,YANTZAZA
19,ZAMORA CHINCHIPE,775,EL PANGUI
19,ZAMORA CHINCHIPE,980,CENTINELA DEL CONDOR
